"Refid","Author","Title","User","Level","algorithm_domain1","assessor_domain1","algorithm_domain2a","algorithm_domain2b","algorithm_domain2c","assessor_domain2","algorithm_domain3","assessor_domain3","algorithm_domain4","assessor_domain4","algorithm_domain5","assessor_domain5","algorithm_overall","assessor_overall"
261,"Lee, C., Lee, C. H., Lee, G., Lee, M., Hwang, J.","The effect of the timing and dose of dexmedetomidine on postoperative delirium in elderly patients after laparoscopic major non-cardiac surgery: A double blind randomized controlled study",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,High,High,Low,Low,Low,Low,High,High
261,"Lee, C., Lee, C. H., Lee, G., Lee, M., Hwang, J.","The effect of the timing and dose of dexmedetomidine on postoperative delirium in elderly patients after laparoscopic major non-cardiac surgery: A double blind randomized controlled study",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,High,High,Low,Low,Low,Low,High,High
262,"Purwar, B., Ismail, K. M., Turner, N., Farrell, A., Verzune, M., Annappa, M., Smith, I., El-Gizawy, Z., Cooper, J. C.","General or Spinal Anaesthetic for Vaginal Surgery in Pelvic Floor Disorders (GOSSIP): a feasibility randomised controlled trial",Anne_Marbella,4,Low,Low,"Some concerns",Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns"
262,"Purwar, B., Ismail, K. M., Turner, N., Farrell, A., Verzune, M., Annappa, M., Smith, I., El-Gizawy, Z., Cooper, J. C.","General or Spinal Anaesthetic for Vaginal Surgery in Pelvic Floor Disorders (GOSSIP): a feasibility randomised controlled trial",Lexi_Dyer,4,Low,Low,"Some concerns",Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns"
269,"Harsten, A., Kehlet, H., Ljung, P., Toksvig-Larsen, S.","Total intravenous general anaesthesia vs. spinal anaesthesia for total hip arthroplasty: a randomised, controlled trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",High,High,High,High
269,"Harsten, A., Kehlet, H., Ljung, P., Toksvig-Larsen, S.","Total intravenous general anaesthesia vs. spinal anaesthesia for total hip arthroplasty: a randomised, controlled trial",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",High,High,High,High
285,"Tanaka, P., Goodman, S., Sommer, B. R., Maloney, W., Huddleston, J., Lemmens, H. J.","The effect of desflurane versus propofol anesthesia on postoperative delirium in elderly obese patients undergoing total knee replacement: A randomized, controlled, double-blinded clinical trial",Madhulika_Agarkar,4,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,High,High
285,"Tanaka, P., Goodman, S., Sommer, B. R., Maloney, W., Huddleston, J., Lemmens, H. J.","The effect of desflurane versus propofol anesthesia on postoperative delirium in elderly obese patients undergoing total knee replacement: A randomized, controlled, double-blinded clinical trial",Anne_Marbella,4,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,High,High
296,"Salonia, A., Crescenti, A., Suardi, N., Memmo, A., Naspro, R., Bocciardi, A. M., Colombo, R., Da Pozzo, L. F., Rigatti, P., Montorsi, F.","General versus spinal anesthesia in patients undergoing radical retropubic prostatectomy: results of a prospective, randomized study",Anne_Marbella,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns"
296,"Salonia, A., Crescenti, A., Suardi, N., Memmo, A., Naspro, R., Bocciardi, A. M., Colombo, R., Da Pozzo, L. F., Rigatti, P., Montorsi, F.","General versus spinal anesthesia in patients undergoing radical retropubic prostatectomy: results of a prospective, randomized study",Lexi_Dyer,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns"
307,"Nesek-Adam, V., Rasić, Z., Schwarz, D., Grizelj-Stojcić, E., Rasić, D., Krstonijević, Z., Markić, A., Kovacević, M.","The effect of spinal versus general anesthesia on postoperative pain and analgesic requirements in patients undergoing peripheral vascular surgery",Anne_Marbella,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,High,"Some concerns",Low,Low,High,"Some concerns"
307,"Nesek-Adam, V., Rasić, Z., Schwarz, D., Grizelj-Stojcić, E., Rasić, D., Krstonijević, Z., Markić, A., Kovacević, M.","The effect of spinal versus general anesthesia on postoperative pain and analgesic requirements in patients undergoing peripheral vascular surgery",Lexi_Dyer,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns"
328,"Zhang, H., Wu, Z., Zhao, X., Qiao, Y.","Role of dexmedetomidine in reducing the incidence of postoperative cognitive dysfunction caused by sevoflurane inhalation anesthesia in elderly patients with esophageal carcinoma",Lexi_Dyer,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
328,"Zhang, H., Wu, Z., Zhao, X., Qiao, Y.","Role of dexmedetomidine in reducing the incidence of postoperative cognitive dysfunction caused by sevoflurane inhalation anesthesia in elderly patients with esophageal carcinoma",Stephanie_Ramirez,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
329,"Salonia, A., Suardi, N., Crescenti, A., Colombo, R., Rigatti, P., Montorsi, F.","General versus spinal anesthesia with different forms of sedation in patients undergoing radical retropubic prostatectomy: results of a prospective, randomized study",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns"
329,"Salonia, A., Suardi, N., Crescenti, A., Colombo, R., Rigatti, P., Montorsi, F.","General versus spinal anesthesia with different forms of sedation in patients undergoing radical retropubic prostatectomy: results of a prospective, randomized study",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns"
331,"Nishikawa, K., Kimura, S., Shimodate, Y., Igarashi, M., Namiki, A.","A comparison of intravenous-based and epidural-based techniques for anesthesia and postoperative analgesia in elderly patients undergoing laparoscopic cholecystectomy",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns"
331,"Nishikawa, K., Kimura, S., Shimodate, Y., Igarashi, M., Namiki, A.","A comparison of intravenous-based and epidural-based techniques for anesthesia and postoperative analgesia in elderly patients undergoing laparoscopic cholecystectomy",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns"
335,"van Norden, J., Spies, C. D., Borchers, F., Mertens, M., Kurth, J., Heidgen, J., Pohrt, A., Mueller, A.","The effect of peri-operative dexmedetomidine on the incidence of postoperative delirium in cardiac and non-cardiac surgical patients: a randomised, double-blind placebo-controlled trial",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
335,"van Norden, J., Spies, C. D., Borchers, F., Mertens, M., Kurth, J., Heidgen, J., Pohrt, A., Mueller, A.","The effect of peri-operative dexmedetomidine on the incidence of postoperative delirium in cardiac and non-cardiac surgical patients: a randomised, double-blind placebo-controlled trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
376,"Zangrillo, A., Testa, V., Aldrovandi, V., Tuoro, A., Casiraghi, G., Cavenago, F., Messina, M., Bignami, E., Landoni, G.","Volatile agents for cardiac protection in noncardiac surgery: a randomized controlled study",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
376,"Zangrillo, A., Testa, V., Aldrovandi, V., Tuoro, A., Casiraghi, G., Cavenago, F., Messina, M., Bignami, E., Landoni, G.","Volatile agents for cardiac protection in noncardiac surgery: a randomized controlled study",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
385,"Nishikawa, K., Nakayama, M., Omote, K., Namiki, A.","Recovery characteristics and post-operative delirium after long-duration laparoscope-assisted surgery in elderly patients: propofol-based vs. sevoflurane-based anesthesia",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
385,"Nishikawa, K., Nakayama, M., Omote, K., Namiki, A.","Recovery characteristics and post-operative delirium after long-duration laparoscope-assisted surgery in elderly patients: propofol-based vs. sevoflurane-based anesthesia",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
397,"Nishikawa, K., Yoshida, S., Shimodate, Y., Igarashi, M., Namiki, A.","A comparison of spinal anesthesia with small-dose lidocaine and general anesthesia with fentanyl and propofol for ambulatory prostate biopsy procedures in elderly patients",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns"
397,"Nishikawa, K., Yoshida, S., Shimodate, Y., Igarashi, M., Namiki, A.","A comparison of spinal anesthesia with small-dose lidocaine and general anesthesia with fentanyl and propofol for ambulatory prostate biopsy procedures in elderly patients",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns"
447,"Lindholm, E. E., Aune, E., Norén, C. B., Seljeflot, I., Hayes, T., Otterstad, J. E., Kirkeboen, K. A.","The anesthesia in abdominal aortic surgery (ABSENT) study: a prospective, randomized, controlled trial comparing troponin T release with fentanyl-sevoflurane and propofol-remifentanil anesthesia in major vascular surgery",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,High,High,Low,Low,High,High
447,"Lindholm, E. E., Aune, E., Norén, C. B., Seljeflot, I., Hayes, T., Otterstad, J. E., Kirkeboen, K. A.","The anesthesia in abdominal aortic surgery (ABSENT) study: a prospective, randomized, controlled trial comparing troponin T release with fentanyl-sevoflurane and propofol-remifentanil anesthesia in major vascular surgery",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,High,High,Low,Low,High,High
534,"Cai, Y., Hu, H., Liu, P., Feng, G., Dong, W., Yu, B., Zhu, Y., Song, J., Zhao, M.","Association between the apolipoprotein E4 and postoperative cognitive dysfunction in elderly patients undergoing intravenous anesthesia and inhalation anesthesia",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
534,"Cai, Y., Hu, H., Liu, P., Feng, G., Dong, W., Yu, B., Zhu, Y., Song, J., Zhao, M.","Association between the apolipoprotein E4 and postoperative cognitive dysfunction in elderly patients undergoing intravenous anesthesia and inhalation anesthesia",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
555,"Ommundsen, N., Wyller, T. B., Nesbakken, A., Bakka, A. O., Jordhøy, M. S., Skovlund, E., Rostoft, S.","Preoperative geriatric assessment and tailored interventions in frail older patients with colorectal cancer: a randomized controlled trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
555,"Ommundsen, N., Wyller, T. B., Nesbakken, A., Bakka, A. O., Jordhøy, M. S., Skovlund, E., Rostoft, S.","Preoperative geriatric assessment and tailored interventions in frail older patients with colorectal cancer: a randomized controlled trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
602,"Fan, Y., Yuan, L., Ji, M., Yang, J., Gao, D.","The effect of melatonin on early postoperative cognitive decline in elderly patients undergoing hip arthroplasty: A randomized controlled trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
602,"Fan, Y., Yuan, L., Ji, M., Yang, J., Gao, D.","The effect of melatonin on early postoperative cognitive decline in elderly patients undergoing hip arthroplasty: A randomized controlled trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
658,"Wongyingsinn, M., Kohmongkoludom, P., Trakarnsanga, A., Horthongkham, N.","Postoperative clinical outcomes and inflammatory markers after inguinal hernia repair using local, spinal, or general anesthesia: A randomized controlled trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
658,"Wongyingsinn, M., Kohmongkoludom, P., Trakarnsanga, A., Horthongkham, N.","Postoperative clinical outcomes and inflammatory markers after inguinal hernia repair using local, spinal, or general anesthesia: A randomized controlled trial",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
737,"Ornek, D., Metin, S., Deren, S., Un, C., Metin, M., Dikmen, B., Gogus, N.","The influence of various anesthesia techniques on postoperative recovery and discharge criteria among geriatric patients",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,High,"Some concerns",Low,Low,High,"Some concerns"
737,"Ornek, D., Metin, S., Deren, S., Un, C., Metin, M., Dikmen, B., Gogus, N.","The influence of various anesthesia techniques on postoperative recovery and discharge criteria among geriatric patients",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,High,"Some concerns",Low,Low,High,"Some concerns"
741,"Marcantonio, E. R., Flacker, J. M., Wright, R. J., Resnick, N. M.","Reducing delirium after hip fracture: a randomized trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
741,"Marcantonio, E. R., Flacker, J. M., Wright, R. J., Resnick, N. M.","Reducing delirium after hip fracture: a randomized trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
742,"Li, W. X., Luo, R. Y., Chen, C., Li, X., Ao, J. S., Liu, Y., Yin, Y. Q.","Effects of propofol, dexmedetomidine, and midazolam on postoperative cognitive dysfunction in elderly patients: a randomized controlled preliminary trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
742,"Li, W. X., Luo, R. Y., Chen, C., Li, X., Ao, J. S., Liu, Y., Yin, Y. Q.","Effects of propofol, dexmedetomidine, and midazolam on postoperative cognitive dysfunction in elderly patients: a randomized controlled preliminary trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
760,"Hempenius, L., Slaets, J. P., van Asselt, D., de Bock, G. H., Wiggers, T., van Leeuwen, B. L.","Outcomes of a Geriatric Liaison Intervention to Prevent the Development of Postoperative Delirium in Frail Elderly Cancer Patients: Report on a Multicentre, Randomized, Controlled Trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,Low,Low,"Some concerns","Some concerns"
760,"Hempenius, L., Slaets, J. P., van Asselt, D., de Bock, G. H., Wiggers, T., van Leeuwen, B. L.","Outcomes of a Geriatric Liaison Intervention to Prevent the Development of Postoperative Delirium in Frail Elderly Cancer Patients: Report on a Multicentre, Randomized, Controlled Trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,Low,Low,"Some concerns","Some concerns"
781,"Silbert, B. S., Evered, L. A., Scott, D. A.","Incidence of postoperative cognitive dysfunction after general or spinal anaesthesia for extracorporeal shock wave lithotripsy",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
781,"Silbert, B. S., Evered, L. A., Scott, D. A.","Incidence of postoperative cognitive dysfunction after general or spinal anaesthesia for extracorporeal shock wave lithotripsy",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
831,"Rasmussen, L. S., Johnson, T., Kuipers, H. M., Kristensen, D., Siersma, V. D., Vila, P., Jolles, J., Papaioannou, A., Abildstrom, H., Silverstein, J. H., Bonal, J. A., Raeder, J., Nielsen, I. K., Korttila, K., Munoz, L., Dodds, C., Hanning, C. D., Moller, J. T.","Does anaesthesia cause postoperative cognitive dysfunction? A randomised study of regional versus general anaesthesia in 438 elderly patients",Madhulika_Agarkar,4,Low,Low,"Some concerns",Low,"Some concerns","Some concerns",High,High,Low,Low,Low,Low,High,High
831,"Rasmussen, L. S., Johnson, T., Kuipers, H. M., Kristensen, D., Siersma, V. D., Vila, P., Jolles, J., Papaioannou, A., Abildstrom, H., Silverstein, J. H., Bonal, J. A., Raeder, J., Nielsen, I. K., Korttila, K., Munoz, L., Dodds, C., Hanning, C. D., Moller, J. T.","Does anaesthesia cause postoperative cognitive dysfunction? A randomised study of regional versus general anaesthesia in 438 elderly patients",Anne_Marbella,4,Low,Low,"Some concerns",Low,"Some concerns","Some concerns",High,High,Low,Low,Low,Low,High,High
889,"Chen, H., Li, F.","Effect of Dexmedetomidine with Different Anesthetic Dosage on Neurocognitive Function in Elderly Patients After Operation Based on Neural Network Model",Anne_Marbella,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
889,"Chen, H., Li, F.","Effect of Dexmedetomidine with Different Anesthetic Dosage on Neurocognitive Function in Elderly Patients After Operation Based on Neural Network Model",Lexi_Dyer,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
1117,"Mansouri, N., Nasrollahi, K., Shetabi, H.","Prevention of Cognitive Dysfunction after Cataract Surgery with Intravenous Administration of Midazolam and Dexmedetomidine in Elderly Patients Undergoing Cataract Surgery",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1117,"Mansouri, N., Nasrollahi, K., Shetabi, H.","Prevention of Cognitive Dysfunction after Cataract Surgery with Intravenous Administration of Midazolam and Dexmedetomidine in Elderly Patients Undergoing Cataract Surgery",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1201,"Watne, L. O., Torbergsen, A. C., Conroy, S., Engedal, K., Frihagen, F., Hjorthaug, G. A., Juliebo, V., Raeder, J., Saltvedt, I., Skovlund, E., Wyller, T. B.","The effect of a pre- and postoperative orthogeriatric service on cognitive function in patients with hip fracture: randomized controlled trial (Oslo Orthogeriatric Trial)",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1201,"Watne, L. O., Torbergsen, A. C., Conroy, S., Engedal, K., Frihagen, F., Hjorthaug, G. A., Juliebo, V., Raeder, J., Saltvedt, I., Skovlund, E., Wyller, T. B.","The effect of a pre- and postoperative orthogeriatric service on cognitive function in patients with hip fracture: randomized controlled trial (Oslo Orthogeriatric Trial)",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1263,"Hempenius, L., Slaets, J. P., van Asselt, D., de Bock, T. H., Wiggers, T., van Leeuwen, B. L.","Long Term Outcomes of a Geriatric Liaison Intervention in Frail Elderly Cancer Patients",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,Low,Low,"Some concerns","Some concerns"
1263,"Hempenius, L., Slaets, J. P., van Asselt, D., de Bock, T. H., Wiggers, T., van Leeuwen, B. L.","Long Term Outcomes of a Geriatric Liaison Intervention in Frail Elderly Cancer Patients",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,Low,Low,"Some concerns","Some concerns"
1267,"Mei, B., Xu, G., Han, W., Lu, X., Liu, R., Cheng, X., Chen, S., Gu, E., Liu, X., Zhang, Y.","The Benefit of Dexmedetomidine on Postoperative Cognitive Function Is Unrelated to the Modulation on Peripheral Inflammation: A Single-center, Prospective, Randomized Study",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1267,"Mei, B., Xu, G., Han, W., Lu, X., Liu, R., Cheng, X., Chen, S., Gu, E., Liu, X., Zhang, Y.","The Benefit of Dexmedetomidine on Postoperative Cognitive Function Is Unrelated to the Modulation on Peripheral Inflammation: A Single-center, Prospective, Randomized Study",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
1288,"Du, X., Song, F., Zhang, X., Ma, S.","Protective efficacy of combined use of parecoxib and dexmedetomidine on postoperative hyperalgesia and early cognitive dysfunction after laparoscopic cholecystectomy for elderly patients",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
