refid,design_f_lab,study,study_l,study_l_w_linked,study_id,arm_id,drug,drug_f,drug_recode,drug_recode_abbr,drug_study,arm_n,arm_proph_meds,none,proph_history,proph_med_pre,proph_med_induct,proph_med_intra,proph_med_postop,proph_med_unspec,dexmed,dexmed_loading,dexmed_maintain,dexmed_maintain_low,dexmed_maintain_up,dexmed_postdose,ketamine,ketamine_dose,ketamine_dose_iv,ket_postdose,melatonin,melatonin_dose,melatonin_days,ramelteon,ramelteon_dose,ramelteon_numberdoses,gabapentin,gabapentin_dose,gabapentin_numberdoses,ulinastatin,ulinastatin_dose,ulinastatin_numberdoses,notes,multiple_kq,drug_kq5,control_desc_kq5,other_spec,interv_desc,control_desc
239,Randomized Clinical Trial,Carron 2007,[Carron 2007](evidence_tables.html#239),[Carron 2007](evidence_tables.html#239),Carron 2007-2,2,,,,,Ketamine,20,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Randomized Clinical Trial,Mazul-Sunko 2010,[Mazul-Sunko 2010](evidence_tables.html#241),[Mazul-Sunko 2010](evidence_tables.html#241),Mazul-Sunko 2010-1,1,,,,,Ketamine,28,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Randomized Clinical Trial,Mazul-Sunko 2010,[Mazul-Sunko 2010](evidence_tables.html#241),[Mazul-Sunko 2010](evidence_tables.html#241),Mazul-Sunko 2010-2,2,,,,,Ketamine,29,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Randomized Clinical Trial,Lee 2018a,[Lee 2018a](evidence_tables.html#261),[Lee 2018a](evidence_tables.html#261),Lee 2018a-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,109,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10mL of saline 15 min before the end of surgery
261,Randomized Clinical Trial,Lee 2018a,[Lee 2018a](evidence_tables.html#261),[Lee 2018a](evidence_tables.html#261),Lee 2018a-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,95,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,1,,0.2,0.7,,,,,,,,,,,,,,,,,,,,,,,1ug/kg bolus of dex followed by 0.2-0.7ug/kg/hr infusion from induction of anethesia to the end of surgery,
261,Randomized Clinical Trial,Lee 2018a,[Lee 2018a](evidence_tables.html#261),[Lee 2018a](evidence_tables.html#261),Lee 2018a-3,3,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,114,kq6_proph_meds,,,,,proph_med_intra,,,dexmedetomidine,1,,,,,,,,,,,,,,,,,,,,,,,,,,1ug/kg diluted to a total volume of 10mL in saline (0.9%) over a 10 minute period 15 minutes before the end of surgery,
262,Randomized Clinical Trial,Purwar 2015,[Purwar 2015](evidence_tables.html#262),[Purwar 2015](evidence_tables.html#262),Purwar 2015-1,1,,,,,Dexmedetomidine,28,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Randomized Clinical Trial,Purwar 2015,[Purwar 2015](evidence_tables.html#262),[Purwar 2015](evidence_tables.html#262),Purwar 2015-2,2,,,,,Dexmedetomidine,31,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Randomized Clinical Trial,Harsten 2015,[Harsten 2015](evidence_tables.html#269),[Harsten 2015](evidence_tables.html#269),Harsten 2015-1,1,,,,,Dexmedetomidine,60,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Randomized Clinical Trial,Harsten 2015,[Harsten 2015](evidence_tables.html#269),[Harsten 2015](evidence_tables.html#269),Harsten 2015-2,2,,,,,Dexmedetomidine,58,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Randomized Clinical Trial,Tanaka 2017,[Tanaka 2017](evidence_tables.html#285),[Tanaka 2017](evidence_tables.html#285),Tanaka 2017-1,1,,,,,Dexmedetomidine,45,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Randomized Clinical Trial,Tanaka 2017,[Tanaka 2017](evidence_tables.html#285),[Tanaka 2017](evidence_tables.html#285),Tanaka 2017-2,2,,,,,Dexmedetomidine,45,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Randomized Clinical Trial,Salonia 2004,[Salonia 2004](evidence_tables.html#296),[Salonia 2004](evidence_tables.html#296),Salonia 2004-1,1,,,,,Dexmedetomidine,34,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Randomized Clinical Trial,Salonia 2004,[Salonia 2004](evidence_tables.html#296),[Salonia 2004](evidence_tables.html#296),Salonia 2004-2,2,,,,,Dexmedetomidine,36,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Randomized Clinical Trial,Nesek-Adam 2012,[Nesek-Adam 2012](evidence_tables.html#307),[Nesek-Adam 2012](evidence_tables.html#307),Nesek-Adam 2012-1,1,,,,,Dexmedetomidine,20,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Randomized Clinical Trial,Nesek-Adam 2012,[Nesek-Adam 2012](evidence_tables.html#307),[Nesek-Adam 2012](evidence_tables.html#307),Nesek-Adam 2012-2,2,,,,,Dexmedetomidine,20,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Randomized Clinical Trial,Zhang 2018b (prop),[Zhang 2018b](evidence_tables.html#328),[Zhang 2018b](evidence_tables.html#328),Zhang 2018b-1,1,Other,Control,Midazolam/propofol,Mid/Prop,Dexmedetomidine,30,kq6_no_proph_meds,kq6_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midazolam and propofol,,Propofol (4ug/mL) by target controlled infusion. Midazolam (2-3mg) was injected.
328,Randomized Clinical Trial,Zhang 2018b (sevo),[Zhang 2018b](evidence_tables.html#328),[Zhang 2018b](evidence_tables.html#328),Zhang 2018b-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,30,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,"Loading dose of 1ug/kg dex, infused continuously for 12 minutes. The loading dose was followed by a continuous IV infusion at a rate of 0.5ug/kg/hr. Propofol (4ug/mL) by target controlled infusion.",
328,Randomized Clinical Trial,Zhang 2018b (prop),[Zhang 2018b](evidence_tables.html#328),[Zhang 2018b](evidence_tables.html#328),Zhang 2018b-3,3,Other,Control,Midazolam/sevoflurane,Mid/Sevo,Dexmedetomidine,30,kq6_no_proph_meds,kq6_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midazolam and sevoflurane,,Midazolam (2-3mg) was injected. Treated with sevoflurane 1 minimum alveolar concentration.
328,Randomized Clinical Trial,Zhang 2018b (sevo),[Zhang 2018b](evidence_tables.html#328),[Zhang 2018b](evidence_tables.html#328),Zhang 2018b-4,4,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,30,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,"Loading dose of 1ug/kg dex, infused continuously for 12 minutes. The loading dose was followed by a continuous IV infusion at a rate of 0.5ug/kg/hr.  Treated with sevoflurane 1 minimum alveolar concentration.",
329,Randomized Clinical Trial,Salonia 2006,[Salonia 2006](evidence_tables.html#329),[Salonia 2006](evidence_tables.html#329),Salonia 2006-1,1,,,,,Dexmedetomidine,34,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Randomized Clinical Trial,Salonia 2006,[Salonia 2006](evidence_tables.html#329),[Salonia 2006](evidence_tables.html#329),Salonia 2006-2,2,,,,,Dexmedetomidine,28,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Randomized Clinical Trial,Salonia 2006,[Salonia 2006](evidence_tables.html#329),[Salonia 2006](evidence_tables.html#329),Salonia 2006-3,3,,,,,Dexmedetomidine,30,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Randomized Clinical Trial,Salonia 2006,[Salonia 2006](evidence_tables.html#329),[Salonia 2006](evidence_tables.html#329),Salonia 2006-4,4,,,,,Dexmedetomidine,29,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Randomized Clinical Trial,Nishikawa 2007a,[Nishikawa 2007a](evidence_tables.html#331),[Nishikawa 2007a](evidence_tables.html#331),Nishikawa 2007a-1,1,,,,,Dexmedetomidine,15,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Randomized Clinical Trial,Nishikawa 2007a,[Nishikawa 2007a](evidence_tables.html#331),[Nishikawa 2007a](evidence_tables.html#331),Nishikawa 2007a-2,2,,,,,Dexmedetomidine,15,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Retrospective Cohort,Goins 2018,[Goins 2018](evidence_tables.html#332),[Goins 2018](evidence_tables.html#332),Goins 2018-1,1,,,,,Dexmedetomidine,32,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Retrospective Cohort,Goins 2018,[Goins 2018](evidence_tables.html#332),[Goins 2018](evidence_tables.html#332),Goins 2018-2,2,,,,,Dexmedetomidine,84,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Randomized Clinical Trial,van Norden 2021,[van Norden 2021](evidence_tables.html#335),[van Norden 2021](evidence_tables.html#335),van Norden 2021-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,32,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7 ug/kg saline
335,Randomized Clinical Trial,van Norden 2021,[van Norden 2021](evidence_tables.html#335),[van Norden 2021](evidence_tables.html#335),van Norden 2021-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,28,kq6_proph_meds,,,,,proph_med_intra,,,dexmedetomidine,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.7ug/kg of dex after induction,
376,Randomized Clinical Trial,Zangrillo 2011,[Zangrillo 2011](evidence_tables.html#376),[Zangrillo 2011](evidence_tables.html#376),Zangrillo 2011-1,1,,,,,Dexmedetomidine,44,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Randomized Clinical Trial,Zangrillo 2011,[Zangrillo 2011](evidence_tables.html#376),[Zangrillo 2011](evidence_tables.html#376),Zangrillo 2011-2,2,,,,,Dexmedetomidine,44,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Retrospective Cohort,Kishimoto 2018,[Kishimoto 2018](evidence_tables.html#383),[Kishimoto 2018](evidence_tables.html#383),Kishimoto 2018-1,1,,,,,Dexmedetomidine,5140,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Retrospective Cohort,Kishimoto 2018,[Kishimoto 2018](evidence_tables.html#383),[Kishimoto 2018](evidence_tables.html#383),Kishimoto 2018-2,2,,,,,Dexmedetomidine,5140,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Randomized Clinical Trial,Nishikawa 2004,[Nishikawa 2004](evidence_tables.html#385),[Nishikawa 2004](evidence_tables.html#385),Nishikawa 2004-1,1,,,,,Dexmedetomidine,25,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Randomized Clinical Trial,Nishikawa 2004,[Nishikawa 2004](evidence_tables.html#385),[Nishikawa 2004](evidence_tables.html#385),Nishikawa 2004-2,2,,,,,Dexmedetomidine,25,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Randomized Clinical Trial,Nishikawa 2007b,[Nishikawa 2007b](evidence_tables.html#397),[Nishikawa 2007b](evidence_tables.html#397),Nishikawa 2007b-1,1,,,,,Dexmedetomidine,40,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Randomized Clinical Trial,Nishikawa 2007b,[Nishikawa 2007b](evidence_tables.html#397),[Nishikawa 2007b](evidence_tables.html#397),Nishikawa 2007b-2,2,,,,,Dexmedetomidine,40,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Randomized Clinical Trial,Lindholm 2013,[Lindholm 2013](evidence_tables.html#447),[Lindholm 2013](evidence_tables.html#447),Lindholm 2013-1,1,,,,,Dexmedetomidine,97,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Randomized Clinical Trial,Lindholm 2013,[Lindholm 2013](evidence_tables.html#447),[Lindholm 2013](evidence_tables.html#447),Lindholm 2013-2,2,,,,,Dexmedetomidine,96,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Randomized Clinical Trial,Cai 2012,[Cai 2012](evidence_tables.html#534),[Cai 2012](evidence_tables.html#534),Cai 2012-1,1,,,,,Dexmedetomidine,1000,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Randomized Clinical Trial,Cai 2012,[Cai 2012](evidence_tables.html#534),[Cai 2012](evidence_tables.html#534),Cai 2012-2,2,,,,,Dexmedetomidine,1000,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Randomized Clinical Trial,Ommundsen 2018,[Ommundsen 2018](evidence_tables.html#555),[Ommundsen 2018](evidence_tables.html#555),Ommundsen 2018-1,1,,,,,Dexmedetomidine,63,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Randomized Clinical Trial,Ommundsen 2018,[Ommundsen 2018](evidence_tables.html#555),[Ommundsen 2018](evidence_tables.html#555),Ommundsen 2018-2,2,,,,,Dexmedetomidine,53,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Randomized Clinical Trial,Fan 2017,[Fan 2017](evidence_tables.html#602),[Fan 2017](evidence_tables.html#602),Fan 2017-1,1,Placebo,Control,Placebo,Plac,Melatonin,70,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 oral pill 1 hour before bedtime day before surgery, then for 5 days consecutive postoperative days."
602,Randomized Clinical Trial,Fan 2017,[Fan 2017](evidence_tables.html#602),[Fan 2017](evidence_tables.html#602),Fan 2017-2,2,Melatonin,Melatonin,Melatonin,Mel,Melatonin,69,kq6_proph_meds,,,proph_med_pre,,,proph_med_postop,,,,,,,,,,,,melatonin,1,6,,,,,,,,,,,,,,,"1 oral pill 1 hour before bedtime day before surgery, then for 5 days consecutive postoperative days.",
658,Randomized Clinical Trial,Wongyingsinn 2020,[Wongyingsinn 2020](evidence_tables.html#658),[Wongyingsinn 2020](evidence_tables.html#658),Wongyingsinn 2020-1,1,,,,,Melatonin,18,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Randomized Clinical Trial,Wongyingsinn 2020,[Wongyingsinn 2020](evidence_tables.html#658),[Wongyingsinn 2020](evidence_tables.html#658),Wongyingsinn 2020-2,2,,,,,Melatonin,18,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Before-After/Time Series,Hokuto 2020,[Hokuto 2020](evidence_tables.html#693),[Hokuto 2020](evidence_tables.html#693),Hokuto 2020-1,1,None,Control,None,None,Ramelteon,186,kq6_no_proph_meds,kq6_none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Before-After/Time Series,Hokuto 2020,[Hokuto 2020](evidence_tables.html#693),[Hokuto 2020](evidence_tables.html#693),Hokuto 2020-2,2,Ramelteon,Ramelteon,Ramelteon,Ram,Ramelteon,120,kq6_proph_meds,,,proph_med_pre,,,proph_med_postop,,,,,,,,,,,,,,,ramelteon,8,4,,,,,,,,,,,,one dose day before surgery and on PODs 1-3,
