refid,Reference,Author,Title,Abstract,Reason,Labels,Response Sets,Attachments
16896,"Karalapillai, D., Weinberg, L., Neto, A. S., Peyton, P. J., Ellard, L., Hu, R., Pearce, B., Tan, C., Story, D., O'Donnell, M., Hamilton, P., Oughton, C., Galtieri, J., Appu, S., Wilson, A., Eastwood, G., Bellomo, R., Jones, D. A..  Intraoperative low tidal volume ventilation and the risk of ICD-10 coded delirium and the use for antipsychotic medications. BMC Anesthesiol.  2022. 22:149","Karalapillai, D., Weinberg, L., Neto, A. S., Peyton, P. J., Ellard, L., Hu, R., Pearce, B., Tan, C., Story, D., O'Donnell, M., Hamilton, P., Oughton, C., Galtieri, J., Appu, S., Wilson, A., Eastwood, G., Bellomo, R., Jones, D. A.",Intraoperative low tidal volume ventilation and the risk of ICD-10 coded delirium and the use for antipsychotic medications,"BACKGROUND: Low tidal volume (V(T)) ventilation and its associated increase in arterial carbon dioxide (PaCO(2)) may affect postoperative neurologic function. We aimed to test the hypothesis that intraoperative low V(T) ventilation affect the incidence of postoperative ICD-10 coded delirium and/or the need for antipsychotic medications. METHODS: This is a post-hoc analysis of a large randomized controlled trial evaluating low vs. conventional V(T) ventilation during major non-cardiothoracic, non-intracranial surgery. The primary outcome was the incidence of ICD-10 delirium and/or the use of antipsychotic medications during hospital stay, and the absolute difference with its 95% confidence interval (CI) was calculated. RESULTS: We studied 1206 patients (median age of 64 [55-72] years, 59.0% males, median ARISCAT of 26 [19-37], and 47.6% of ASA 3). ICD-10 coded delirium and /or antipsychotic medication use was diagnosed in 11.2% with similar incidence between low and conventional V(T) ventilation (11.1% vs. 11.3%; absolute difference, -0.24 [95%CI, -3.82 to 3.32]; p = 0.894). There was no interaction between allocation group and type of surgery. CONCLUSION: In adult patients undergoing major surgery, low V(T) ventilation was not associated with increased risk of ICD-10 delirium and/or the use of antipsychotic medications during hospital stay. TRIAL REGISTRATION: ANZCTR Identifier: ACTRN12614000790640 .",duplicate of 9267,,,
16901,"Kainz, E., Stuff, K., Kahl, U., Wiessner, C., Yu, Y., von Breunig, F., Nitzschke, R., Haese, A., Graefen, M., Fischer, M..  Impact of postanesthesia care unit delirium on self-reported cognitive function and perceived health status: a prospective observational cohort study. Qual Life Res.  2022. 31:2397-2410","Kainz, E., Stuff, K., Kahl, U., Wiessner, C., Yu, Y., von Breunig, F., Nitzschke, R., Haese, A., Graefen, M., Fischer, M.",Impact of postanesthesia care unit delirium on self-reported cognitive function and perceived health status: a prospective observational cohort study,"PURPOSE: The objective of this study was to determine the influence of postanesthesia care unit (PACU) delirium on self-reported cognitive function and perceived health status 3 months after surgery. METHODS: This prospective observational cohort study was performed in a PACU at a high-volume prostate cancer center. We used a convenience sample of patients > 60 years undergoing elective radical prostatectomy. Patients with a history of cerebrovascular or neurodegenerative disease were excluded. Fifteen, 30, 45, and 60 following extubation, patients were screened for signs of delirium with the Confusion Assessment Method for the Intensive Care Unit. Three months after surgery self-reported cognitive function was assessed with the Cognitive Failures Questionnaire, and health status was evaluated with the 36-item Short-Form Health Survey (SF-36). RESULTS: Signs of PACU delirium were present in 32.4% (n = 72/222) of patients, and 80.2% (n = 178/222) completed the 3-month follow-up. The presence of PACU delirium signs was not significantly associated with self-reported cognitive failures (B = 0.60, 95% CI: -1.72; 2.92, p = 0.61) or SF-36 physical component scores (B = 0.19, 95% CI: 0.02; 0.36, p = 0.03) or SF-36 mental component scores (B =  -0.03, 95% CI: -0.18, 0.11, p = 0.66) 3 months after radical prostatectomy. CONCLUSIONS: In a cohort of educated, highly functioning, elderly male patients who were assessed immediately after surgery and at a 3-month follow-up, we found no association between PACU delirium and self-reported cognitive failures or perceived health status, which implies that PACU delirium may be an event of limited duration and impact. TRIAL REGISTRATION: The study was registered at ClinicalTrials.gov (Identifier: NCT04168268, Date of registration: November 19, 2019).",duplicate of 11296,,,
16903,"Lee, D. U., Hastie, D. J., Lee, K. J., Fan, G. H., Addonizio, E. A., Han, J., Suh, J., Karagozian, R..  The clinical impact of frailty on the postoperative outcomes of patients undergoing appendectomy: propensity score-matched analysis of 2011-2017 US hospitals. Aging Clin Exp Res.  2022. 34:2057-2070","Lee, D. U., Hastie, D. J., Lee, K. J., Fan, G. H., Addonizio, E. A., Han, J., Suh, J., Karagozian, R.",The clinical impact of frailty on the postoperative outcomes of patients undergoing appendectomy: propensity score-matched analysis of 2011-2017 US hospitals,"BACKGROUND: The presence of clinical frailty can pose an escalated risk toward surgical outcomes including in cases that involve minimally invasive procedures. Given this premise, we evaluate the effects of frailty on post-appendectomy outcomes using a national in-hospital registry. METHODS: 2011-2017 National Inpatient Sample was used to isolate inpatient appendectomy cases; the population as stratified using Johns Hopkins ACG clinical frailty, expressed as either binary or ternary (prefrailty, frailty, and without frailty) indicators. The controls were matched to frailty-present groups using propensity score matching and compared to various endpoints, including mortality, length of stay (LOS), hospitalization costs, and postoperative complications. RESULTS: Post-match, there were 11,758 with and without frailty per binary; and 1236 frail, 10,522 pre-frail with respective equal number controls per ternary indicator. Using binary term, frail patients had higher mortality (4.22 vs 1.49% OR 2.92 95%CI 2.45-3.47), LOS (14.3 vs 5.35d p < 0.001), and costs ($160,700 vs $64,141 p < 0.001). In multivariate, frail patients had higher mortality (aOR 2.77 95%CI 2.32-3.31), as well as higher rates of postoperative complications. Using ternary term, frail patients had higher mortality (5.02 vs 2.27% OR 2.28 95%CI 1.45-3.59), LOS (18.9 vs 5.66 day p < 0.001) and costs ($200,517 vs $66,193 p < 0.001). In multivariate, frail patients had higher mortality (aOR 2.16 95%CI 1.35-3.43) and complications. Those with pre-frailty had higher mortality (4.12 vs 1.47% OR 2.88 95%CI 2.39-3.46), LOS (13.8 vs 5.34 day p < 0.001) and costs ($156,022 vs $63,772 p < 0.001). In multivariate, pre-frailty patients had higher mortality (aOR 2.79 95%CI 2.31-3.37) and complications. CONCLUSIONS: Frailty and prefrailty (using the ternary indicator) are associated with increased postoperative mortality and complication in patients who undergo appendectomy; given this finding, it is imperative that these vulnerable patients are identified early in the preoperative phase and are provided risk-modifying measures to ameliorate risks and optimize outcomes.",duplicate of 9731,,,
16908,"Rankin, K. A., Freedman, I. G., Moore, H. G., Halperin, S. J., Rubin, L. E., Grauer, J. N..  Jump in Elective Total Hip and Knee Arthroplasty Numbers at Age 65 Years: Evidence for Moral Hazard?. J Am Acad Orthop Surg Glob Res Rev.  2022. 6:#pages#","Rankin, K. A., Freedman, I. G., Moore, H. G., Halperin, S. J., Rubin, L. E., Grauer, J. N.",Jump in Elective Total Hip and Knee Arthroplasty Numbers at Age 65 Years: Evidence for Moral Hazard?,"INTRODUCTION: Total knee arthroplasty (TKA) and total hip arthroplasty (THA) are outstanding options for many older patients at the discretion of the patient and the surgeon. As patients turn 65 years, greater than 98% of the US population becomes eligible for Medicare, and this represents a time of changing healthcare coverage for many. METHODS: Patients undergoing elective TKA and THA were abstracted from the 2012 to 2018 National Surgical Quality Improvement Program database. Incidences of TKA and THA (combined and separate) were plotted and assessed by age. To assess factors associated with who ""delayed"" surgery until 65 years, demographic and preoperative characteristics, and postoperative adverse events were compared for the 2 years above and the 2 years below the 65-year-old mark with multivariate analysis. Significance was set at P < 0.05. RESULTS: In total, 515,139 TKA and THA patients were identified (62.04% TKA and 37.95% THA). When the number of procedures was plotted by age, a discontinuity in the bell-shaped curve was noted at age 65 years. Highlighting this finding, the changes in percent population between 63 and 64 years was -1.52%, between 64 and 65 years was +15.36%, and between 65 and 66 years was -2.32%. Relative to those who were 63 and 64 years (n = 36,511), those who were 65 and 66 years (n = 41,671) were more likely to be female, be non-Hispanic White, have a lower body mass index, and have a lower functional status but were not different in the preoperative American Society of Anesthesiologists class. CONCLUSION: In this large national sample, there was a clear step increase in undergoing TKA or THA once patients reached the age of 65 years (Medicare eligibility). This discontinuity in the bell-shaped curve may be evidence for a moral hazard in healthcare markets. Although factors in decision-making were not assessed, there were demographic factors associated with this step finding.",duplicate of 9989,,,
16911,"Duan, S., Liao, Y., Tang, Y., Zhang, B., Peng, M., Tong, J., Ouyang, W., Le, Y..  Short-term perioperative cognitive therapy combined with rehabilitation exercise reduces the incidence of neurocognitive disorder in elderly patients: a randomized controlled trial. Minerva Anestesiol.  2022. 88:145-155","Duan, S., Liao, Y., Tang, Y., Zhang, B., Peng, M., Tong, J., Ouyang, W., Le, Y.",Short-term perioperative cognitive therapy combined with rehabilitation exercise reduces the incidence of neurocognitive disorder in elderly patients: a randomized controlled trial,"BACKGROUND: To investigate whether short-term perioperative cognitive therapy combined with rehabilitation exercise decreases the incidence of neurocognitive disorder (NCD) in elderly patients who have undergone hip joint replacement surgery. This was a randomized, parallel controlled trial on elderly patients who underwent unilateral total hip joint replacement surgery at the Third Xiangya Hospital of Central South University. METHODS: Patients in the perioperative cognitive therapy combined with rehabilitation exercise group underwent preoperative cognitive training and postoperative cognitive training, rehabilitation exercise, and standardized health care services; the control group received only postoperative standardized health care service. Patients with NCD were defined as those with two or more abnormalities on 11 neuropsychological tests. Of the 607 individuals that we screened, 86 (exercise, 50; control, 36) who completed the study were included. RESULTS: The baseline characteristics were similar for the two groups. The incidence of NCD in the exercise group (10%, 5/50) was significantly lower than that in the control group (27.8%, 10/36) (P=0.032). The HVLT-R, HVLT-R delayed recall test, and HVLT-R recognition discriminating index were significantly improved in the exercise group compared with the control group (all P<0.05). Our findings highlight the clinical significance of perioperative cognitive exercise combined with rehabilitation exercise in preventing NCD among patients after surgery and anesthesia. CONCLUSIONS: Our study indicates that perioperative cognitive therapy combined with rehabilitation exercise can effectively reduce the incidence of NCD in elderly patients after total hip joint replacement surgery.",duplicate of 7984,,,
16916,"Chen, W. Y., Liu, C. Y., Shih, C. C., Chen, Y. S., Cheng, H. W., Chiou, A. F..  Factors Associated With Frailty in Patients Undergoing Cardiac Surgery: A Longitudinal Study. J Cardiovasc Nurs.  2022. 37:204-212","Chen, W. Y., Liu, C. Y., Shih, C. C., Chen, Y. S., Cheng, H. W., Chiou, A. F.",Factors Associated With Frailty in Patients Undergoing Cardiac Surgery: A Longitudinal Study,"BACKGROUND: Frailty may increase the risk of complications and mortality in patients undergoing cardiac surgery. Few studies on frailty and its associated factors have been conducted in these patients. OBJECTIVE: The aim of this study was to explore frailty and related factors in patients undergoing cardiac surgery. METHODS: A total of 154 patients undergoing cardiac surgery in northern Taiwan were recruited using a longitudinal study design and interviewed using structured questionnaires assessing physical activity, anxiety and depression, and social support before surgery and at 1 month and 3 months after surgery. RESULTS: The prevalence of frailty in patients undergoing cardiac surgery was 16.2%, 20.5%, and 16.6% before surgery and at 1 month and 3 months after surgery, respectively. Frail and prefrail patients undergoing cardiac surgery were more likely to be unemployed, have gout, have a higher New York Heart Association class, have preoperative dysrhythmia, undergo cardiopulmonary bypass, have a lower functional ability, have a higher European System for Cardiac Operative Risk Evaluation score, have a longer anesthesia time, have longer endotracheal tube and extracorporeal circulation times, have longer intensive care unit and hospital stays, have lower hemoglobin and albumin levels, have higher anxiety and depression levels, and have lower Mini-Mental State Examination scores. The significant predictors of prefrailty and frailty included unemployment, the presence of gout, higher New York Heart Association classes, less independence in activities of daily living, lower hemoglobin levels, and higher levels of depression. CONCLUSIONS: Frailty was associated with patients' functional status, perioperative conditions and psychosocial factors. Preoperative assessments of frailty and appropriate interventions are needed to improve frailty in patients undergoing cardiac surgery.",duplicate of 6737,,,
16917,"Margalit, O., Yu, S., Shacham-Shmueli, E., Strauss, G., Yang, Y. X., Lawrence, Y. R., Reiss, K. A., Golan, T., Halpern, N., Aderka, D., Giantonio, B., Mamtani, R., Boursi, B..  Benefit for single-agent adjuvant chemotherapy in elderly patients with locally advanced gastric adenocarcinoma. J Cancer Res Clin Oncol.  2022. 148:1703-1708","Margalit, O., Yu, S., Shacham-Shmueli, E., Strauss, G., Yang, Y. X., Lawrence, Y. R., Reiss, K. A., Golan, T., Halpern, N., Aderka, D., Giantonio, B., Mamtani, R., Boursi, B.",Benefit for single-agent adjuvant chemotherapy in elderly patients with locally advanced gastric adenocarcinoma,"BACKGROUND: Current NCCN guidelines exclude the possibility of using single-agent adjuvant chemotherapy in locally advanced gastric adenocarcinoma, while allowing doublet chemotherapy. However, single-agent adjuvant chemotherapy is a valid treatment option in other gastrointestinal malignancies, preferred for elderly and/or frail patients. The current study used a nationwide oncology database to assess the benefit of single-agent adjuvant chemotherapy, specifically in the elderly population. METHODS: Using the National Cancer Database (2004-2016) we identified 1953 individuals with non-metastatic gastric adenocarcinoma who underwent upfront D2 gastrectomy with pathologic stage ≥ T3 or Npos and free surgical margins, and had not received either preoperative chemotherapy or pre-/postoperative radiotherapy. We used IPTW analysis to compare overall survival between individuals receiving either single- or multi-agent adjuvant chemotherapy, or referred to observation alone. RESULTS: Individuals receiving single-agent chemotherapy had an overall survival benefit compared with observation alone, with an HR of 0.70 (95% CI 0.55-0.88, p < 0.001). Individuals over the age of 65 had an OS benefit with an HR of 0.61 (95% CI 0.46-0.82, p < 0.001). Comparing individuals over the age of 65 receiving single- vs. multi-agent chemotherapy, there was no overall survival difference with an HR of 0.87 (95% CI 0.64-1.18, p = 0.38). CONCLUSIONS: Single-agent adjuvant chemotherapy with a fluoropyrimidine in locally advanced gastric adenocarcinoma following D2 gastrectomy can improve overall survival in elderly patients. Clinicians may consider using either capecitabine or 5-FU as a treatment option in the adjuvant setting for this age group.",duplicate of 11439,,,
16922,"Hao, S., Reis, H. L., Quinn, A. W., Snyder, R. A., Parikh, A. A..  Prehabilitation for Older Adults Undergoing Liver Resection: Getting Patients and Surgeons Up to Speed. J Am Med Dir Assoc.  2022. 23:547-554","Hao, S., Reis, H. L., Quinn, A. W., Snyder, R. A., Parikh, A. A.",Prehabilitation for Older Adults Undergoing Liver Resection: Getting Patients and Surgeons Up to Speed,"OBJECTIVES: Morbidity rates following liver resection are high, especially among older adult patients. This review aims to evaluate the evidence surrounding prehabilitation in older patients anticipating liver resection and to describe how prehabilitation may be implemented. DESIGN: Problem-based narrative review with case-based discussion. SETTING AND PARTICIPANTS: All older adults anticipating liver resection inclusive of benign and malignant etiologies in the United States. METHODS: Literature search was performed using MeSH terms and keywords in MEDLINE via PubMed, followed by a manual second search for relevant references within selected articles. Articles were excluded if not available in the English language or did not include patients undergoing hepatectomy. RESULTS: Prehabilitation includes a range of activities including exercise, nutrition/dietary changes, and psychosocial interventions that may occur from several weeks to days preceding a surgical operation. Older adult patients who participate in prehabilitation may experience improvement in preoperative candidacy as well as improved postoperative quality of life and faster return to baseline; however, evidence supporting a reduction in postoperative length of stay and perioperative morbidity and mortality is conflicting. A variety of modalities are available for prehabilitation but lack consensus and standardization. For a provider desiring to prescribe prehabilitation, multidisciplinary assessments including geriatric, cardiopulmonary, and future remnant liver function can help determine individual patient needs and select appropriate interventions. CONCLUSIONS AND IMPLICATIONS: In the older adult patient undergoing liver resection, the current body of literature suggests promising benefits of prehabilitation programs inclusive of functional assessment as well as multimodal interventions. Additional research is needed to determine best practices.",duplicate of 6804,,,
16924,"Wu, Y., Miao, Y., Chen, X., Wan, X..  A randomized placebo-controlled double-blind study of dexmedetomidine on postoperative sleep quality in patients with endoscopic sinus surgery. BMC Anesthesiol.  2022. 22:172","Wu, Y., Miao, Y., Chen, X., Wan, X.",A randomized placebo-controlled double-blind study of dexmedetomidine on postoperative sleep quality in patients with endoscopic sinus surgery,"BACKGROUND: Postoperative sleep disorder is common and may cause aggravated postoperative pain, delirium, and poor prognosis. We accessed the effect of intraoperative intravenous dexmedetomidine on postoperative sleep quality in patients with endoscopic sinus surgery.  METHODS: This single-center, double-blind, placebo-controlled randomized clinical trial enrolled a total of 110 participants aged 18 years to 65 years who were scheduled to receive endoscopic sinus surgery. Placebo (normal saline) or dexmedetomidine infusion (load dose 0.5 μg kg(-1) over 10 min, followed by maintenance dose 0.2 ug kg(-1) h(-1)) during surgery. The primary outcome was postoperative sleep quality. Secondary outcomes were postoperative Ramsay sedation scores, Visual Analog Scale (VAS) scores, serum cortisol, 5-hydroxytryptamine (5-HT) and hypocretin, delirium, and postoperative nausea and vomiting (PONV). RESULTS: Among enrolled 110 patients, 55 were randomized to administer intraoperative dexmedetomidine and placebo. In total, 14 patients (7 in each group) were excluded because of protocol deviations, and 96 patients (48 in each group) were included in the per-protocol analysis. The dexmedetomidine group had a significantly higher sleep efficiency index(SEI) (66.85[3.00] vs 65.38[3.58]), the ratio of rapid eye movement sleep to total sleep(REM)(13.63[1.45] vs 12.38[2.11]) and lower arousal index (AI) (7.20[1.00] vs 8.07[1.29]), higher Ramsay sedation score at post-operation 1 h, 12 h point, lower VAS scores at post-operation 1 h, 12 h, 24 h point, lower cortisol, higher 5-HT and hypocretin in serum than the placebo group. CONCLUSION: In this randomized clinical trial, dexmedetomidine can improve the sleep quality of patients undergoing endoscopic sinus surgery. These results suggest that this therapy may be a viable strategy to enhance postoperative sleep quality in patients with endoscopic sinus surgery. TRIAL REGISTRATION: The study was approved by the Bethune International Peace Hospital Ethics Committee (2021-KY-129) and registered in the Chinese Clinical Trial Registry ( ChiCTR2100051598 , 28/09/2021).",duplicate of 6954,,,
16930,"Lester, P. E., Ripley, D., Grandelli, R., Drew, L. A., Keegan, M., Islam, S..  Interdisciplinary Protocol for Surgery in Older Persons: Development and Implementation. J Am Med Dir Assoc.  2022. 23:555-562","Lester, P. E., Ripley, D., Grandelli, R., Drew, L. A., Keegan, M., Islam, S.",Interdisciplinary Protocol for Surgery in Older Persons: Development and Implementation,"As the population ages, more older adults will undergo surgical procedures, and common physiologic changes can raise the risk for surgical complications while increasing morbidity and mortality. In conjunction with the National Surgical Quality Improvement Program, we piloted a comprehensive and interdisciplinary assessment and intervention protocol for perioperative care for patients aged ≥75 years undergoing elective general, gynecology-oncologic, and orthopedic surgery. The intervention included screening tools for cognitive, functional, and nutritional deficits, a Geriatric Nurse Champion on each inpatient surgical unit, and an interdisciplinary Geriatric Surgery Quality Committee. Our intervention group was compared to surgical patients during the same time period 1 year prior to the intervention, and the groups were well matched in demographics and comorbidities. The intervention group had significantly higher rates of advance care plan documentation in analysis of all patients (P < .001) and in subgroup analysis of those 85 and older (P = .006). The preintervention group had less postoperative delirium compared to the postintervention group but it was not significant and there was no difference in length of stay between groups. Various explanations for the minimal impact of the protocol exist: small sample size, presence of other hospital initiatives to reduce pressure ulcer and delirium, and clinician's awareness of project planning that led to incorporating ideas prior to official implementation. Future research implementing this protocol in naïve and/or underperforming institutions may demonstrate a greater effect. Larger sample size as well as implementation in other surgical fields may reveal a significant impact. However, if additional study does not reveal a meaningful impact of a comprehensive geriatric assessment for surgical patients, then consideration must be made regarding unrecognized factors in surgical care for older adults or perhaps that factors cannot be mitigated in older adults because they are intrinsically a higher surgical risk.",duplicate of 11264,,,
16932,"Shankar, K., Rangalakshmi, S., Kailash, P., Priyanka, D..  Comparison of Hemodynamics and Opioid Sparing Effect of Dexmedetomidine Nebulization and Intravenous Dexmedetomidine in Laparoscopic Surgeries Under General Anesthesia. Asian J Anesthesiol.  2022. 60:33-40","Shankar, K., Rangalakshmi, S., Kailash, P., Priyanka, D.",Comparison of Hemodynamics and Opioid Sparing Effect of Dexmedetomidine Nebulization and Intravenous Dexmedetomidine in Laparoscopic Surgeries Under General Anesthesia,"BACKGROUND: Dexmedetomidine has been used by multiple routes in laparoscopic surgeries to attenuate the hemodynamic response. The present study was done to compare the efficacy of dexmedetomidine nebulization with intravenous dexmedetomidine and fentanyl in laparoscopic surgeries under general anesthesia. METHODS: A prospective, double blind study was conducted, and 90 American Society of Anesthesiologists (ASA) I and II patients of either gender between 18-65 years undergoing laparoscopic surgeries under general anesthesia were randomized into three groups. (1) Group N (n = 30) received dexmedetomidine nebulization 1 mcg/kg in 3 mL of 0.9% saline 15 minutes before induction and 10 mL of intravenous 0.9% saline over 10 minutes at the time of induction of anesthesia. (2) Group I (n = 30) received 0.9% saline nebulization 3 mL and intravenous dexmedetomidine 1 mcg/kg in 10 mL of 0.9% saline. (3) Group F (n = 30) received 0.9% saline nebulization 3 mL and intravenous fentanyl 2 mcg/kg in 10mL of 0.9% saline. Heart rate, blood pressure, propofol requirement, and opioid consumption were monitored throughout surgery and for 1 hour in post-operative period. Statistical analysis was done by using analysis of variance test, chi-square test. P value ＜ 0.05 was considered signifi cant. RESULTS: Suppression of hemodynamic response following intubation and pneumoperitoneum by dexmedetomidine nebulization was compared to intravenous dexmedetomidine and fentanyl. Opioid requirement was significantly lower in dexmedetomidine group than fentanyl group (P ＜ 0.05). Propofol requirement was lower with intravenous and nebulized dexmedetomidine than intravenous fentanyl. CONCLUSIONS: In laparoscopic surgeries, nebulized dexmedetomidine suppresses hemodynamic response when compared to intravenous dexmedetomidine along with dose sparing effect of opioid and propofol.",duplicate of 6972,,,
16933,"Yoshimura, M., Shiramoto, H., Koga, M., Yoshimatsu, A., Morimoto, Y..  Comparing the effects of peripheral nerve block and general anesthesia with general anesthesia alone on postoperative delirium and complications in elderly patients: a retrospective cohort study using a nationwide database. Reg Anesth Pain Med.  2022. #volume#:#pages#","Yoshimura, M., Shiramoto, H., Koga, M., Yoshimatsu, A., Morimoto, Y.",Comparing the effects of peripheral nerve block and general anesthesia with general anesthesia alone on postoperative delirium and complications in elderly patients: a retrospective cohort study using a nationwide database,"INTRODUCTION: The difference between the effects of peripheral nerve block (PNB) with general anesthesia (GA) and GA alone on the patients' postoperative clinical outcomes remains unknown. We assessed whether there is a difference in postoperative delirium and composite morbidity between patients receiving GA with PNB and GA alone using a national clinical database in Japan. METHODS: We compared the outcomes of patients receiving GA with PNB and GA alone from April 2016 to October 2019. The primary outcome was postoperative delirium, defined as a status requiring newly prescribed antipsychotic drugs or that given the code of a reimbursable disease after the surgery date. The secondary outcome was morbidity incidence as the occurrence of at least one of any of the following life-threatening complications. We conducted propensity score-matched analyses using covariates for patients who underwent any surgical procedure. We used instrumental variables and restricted the definition of postoperative delirium and subgroup for sensitivity analyses. RESULTS: Of 653,759 patients, 90,358 received GA-PNB and 563,401 received only GA. After 1:4 propensity score matching, 89,754 patients were included in the GA-PNB and 359,015 in the GA. The adjusted ORs for postoperative delirium and composite morbidity were 0.96 (95% CIs 0.94 to 0.99; p<0.01), 0.80 (95% CIs 0.76 to 0.83; p<0.001), respectively, for the GA-PNB concerning the GA. For sensitivity analyses, findings were also consistent with instrumental variables and subgroup analyses. DISCUSSION: This retrospective, nationwide cohort study demonstrated that GA-PNB was associated with a small reduction in the likelihood of postoperative delirium and a moderate reduction in the likelihood of composite morbidity.",duplicate of 10946,,,
16937,"Prasad, R., Edwards, J., Newton, P., Gerbasi Rodrigues, T., Curl, C..  Impact of a geriatric assessment and optimisation-based preoperative clinic on the management of older patients receiving dental treatment under general anaesthetic or conscious sedation: A service evaluation. Gerodontology.  2022. #volume#:#pages#","Prasad, R., Edwards, J., Newton, P., Gerbasi Rodrigues, T., Curl, C.",Impact of a geriatric assessment and optimisation-based preoperative clinic on the management of older patients receiving dental treatment under general anaesthetic or conscious sedation: A service evaluation,"OBJECTIVES: The main objectives of the study were to review patient characteristics, recommendations made and treatment outcomes of frail/older patients referred to a specialist multidisciplinary geriatric assessment and optimisation-based preoperative clinic (PROKARE), prior to patients receiving dental treatment under general anaesthesia (GA) or conscious sedation (CS). BACKGROUND: Although the use of preoperative comprehensive geriatric assessment to improve pre/peri and postoperative mortality has been reported for many surgical domains, its use prior to dental surgery has not been reported previously. METHODS: The data were collected retrospectively from the dental notes of 52 patients referred from the Special Care Dental (SCD) Department to the PROKARE service for optimisation prior to dental treatment under GA/CS using a case note study approach. The data extracted included patient demographic characteristics, medical history, clinical management and the treatment outcomes for each patient. The data extracted was analysed with descriptive statistics. RESULTS: Key reasons for referral were caries management, retained roots and poor co-operation. Multiple co-morbidities were noted among the patients referred, with 14 (27%) having four or more co-morbidities. The PROKARE assessment identified issues such as treatment could be carried out under CS instead of GA; consent; and the need for medication change and/or further medical investigations. As per recommendations from PROKARE, 39 patients (75%) received dental treatment while five (10%) did not receive treatment, and a further eight (15%) died prior to treatment. CONCLUSION: Geriatric assessment and optimisation-based preoperative clinics in the dental management of frail, elderly patients having treatment under GA or CS techniques is valuable, but further research and assessment of current service provision are needed to increase the evidence base.",duplicate of 11456,,,
16943,"Raso, J., Kamalapathy, P. N., Labaran, L., Sumpter, A., Rahman, R., Hassanzadeh, H..  Anterior cervical discectomy and fusion in patients with preexisting dementia: Increased medical complications, costs, and 90-day readmissions. Clin Neurol Neurosurg.  2022. 215:107182","Raso, J., Kamalapathy, P. N., Labaran, L., Sumpter, A., Rahman, R., Hassanzadeh, H.","Anterior cervical discectomy and fusion in patients with preexisting dementia: Increased medical complications, costs, and 90-day readmissions","STUDY DESIGN: Retrospective-Cohort INTRODUCTION: Dementia is among the most common health concerns for the aging population, characterized by steep cognitive decline and subsequent loss of independence. Limited orthopedic literature examines the influence that dementia has on patients undergoing elective spinal surgeries. METHODS: Employing the PearlDriver Database, a study population consisting of patients who underwent primary elective ACDF with a prior diagnosis of dementia were selected using Internal Classification Disease-9 (ICD) and ICD-10 codes. Patients with a history of trauma, infection, or malignancy were excluded. Patients with dementia were compared to matched controls via logistical regression accounting for patient demographics, medical comorbidities and levels operated on. Patients were assessed for 90-day outcomes including medical complications, emergency department visits, readmissions, one-year reoperation, hospital length of stay (LOS) and total operative hospitalization costs, and 90-day postoperative cost. RESULTS: There were 4104 patients in the dementia group and 20,269 patients in the matched control group who underwent primary ACDF. Multivariate analysis showed that patients with dementia undergoing ACDF were associated with increased 90-day major and minor medical complications (p < 0.001). Patients with dementia were also associated with an increased risk of dysphagia (p < 0.001), 90-day ER visits(p < 0.001), 90-day readmissions(p < 0.001), and increased LOS(p < 0.001) following ACDF compared to the control group. Additionally, both total hospitalization costs and 90-day postoperative costs were higher in the dementia cohort(p < 0.001). CONCLUSION: Preoperative dementia diagnosis in patients undergoing ACDF is associated with increased number of readmissions, hospitalization and 90-day costs, and postoperative medical complications.",duplicate of 9207,,,
16945,"Yin, Y., Jiang, L., Xue, L..  Which Frailty Evaluation Method Can Better Improve the Predictive Ability of the SASA for Postoperative Complications of Patients Undergoing Elective Abdominal Surgery?. Ther Clin Risk Manag.  2022. 18:541-550","Yin, Y., Jiang, L., Xue, L.",Which Frailty Evaluation Method Can Better Improve the Predictive Ability of the SASA for Postoperative Complications of Patients Undergoing Elective Abdominal Surgery?,"PURPOSE: To determine which frailty method can better improve the predictive ability of the Surgical Apgar Score combined with American Society of Anesthesiologists physical status classification (SASA). PATIENTS AND METHODS: A prospective cohort study was conducted. A total of 194 elderly patients undergoing elective abdominal surgery were included. Preoperative frailty using FRAIL questionnaire, frailty index (FI), Clinical Frailty Scale (CFS) and SASA scores was assessed. Primary outcome was in-hospital Clavien-Dindo ≥grade II complications. Multiple logistic regression was used to examine the association between frailty and complications. Receiver operating characteristic curves were used to explore the predictive ability of frailty. RESULTS: According to the FRAIL, FI and CFS criteria, the prevalence of frailty in the study population was 43.8%, 32.5%, and 36.6%, respectively. After adjusting for all covariates, frailty was significantly associated with postoperative complications in hospital by FRAIL [odds ratio: 5.11, 95% CI: 1.41-18.44, P = 0.013], by FI [OR: 4.25, 95% CI: 1.21-14.90, P = 0.024] and by CFS [OR: 5.10, 95% CI: 1.52-17.17, P = 0.008]. The area under the curve (AUC) for SASA was 0.768 (95% CI: 0.702-0.826). Addition of frailty assessment (FRAIL, FI and CFS) increased the AUC to 0.787 (95% CI: 0.722-0.842), 0.798 (95% CI: 0.734-0.852), and 0.815 (95% CI: 0.753-0.867), respectively. Compared to SASA, only addition of CFS had a significant difference (P = 0.0478). CONCLUSION: Frailty is an effective predictor of postoperative complications in elderly Chinese patients undergoing elective abdominal surgery. Frailty assessment of CFS can better improve the predictive ability of SASA.",duplicate of 10963,,,
